qaSessionId,eventTimestampUtc,eventTimestampShanghai,eventType,activityState,appState,providerSource,sampleSource,rawOrdinal,nativeTimestampUtc,rawInterArrivalMs,acceptedInterArrivalMs,callbackDelayMs,horizontalAccuracyM,verticalAccuracyM,speedValid,speedMps,courseValid,decision,decisionReason,decisionLatencyMs,dtFromTrustedMs,displacementFromTrustedM,impliedSpeedMps,accuracyAdjustedSpeedMps,trajectoryInnovationM,headingDeltaDeg,motionState,candidateId,segmentSuffix,journalLatencyMs,commitToStoreMs,mapSourceRequestUtc,callbackToMapRequestMs,nativeToMapRequestMs,routePointCount,latestAcceptedAgeMs,notes
qa-mtvixnmb-iim3w848,2026-09-10T12:51:12.890Z,2026-09-10T20:51:12.890+08:00,activity_telemetry_health_v2,tracking,active,real,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3889,"{""reason"":""periodic-60s"",""expectedRawOrdinalHighWatermark"":29,""retainedObservationDeficit"":0,""retainedDecisionDeficit"":0,""rawPointCount"":29,""canonicalPointCount"":20,""pendingCandidate"":false,""latestAcceptedAgeMs"":3889,""backgroundTaskActive"":false,""appState"":""active"",""retainedEventCount"":167,""retainedBytes"":136812,""retainedCriticalCount"":50,""retainedObservationCount"":29,""retainedDecisionCount"":29,""uploadCount"":4,""consecutiveUploadFailures"":0,""lastUploadAt"":1789044570488}"
qa-mtvixnmb-iim3w848,2026-09-10T12:51:18.104Z,2026-09-10T20:51:18.104+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,30,2026-09-10T12:51:18.002Z,9001,9001,102,14.25,10.89,true,0.44,true,ACCEPT,coherent-motion,0,9001,5.37,0.6,0,0.34,0.87,moving,,514fdef5,,,2026-09-10T12:51:18.149Z,45,147,21,,
qa-mtvixnmb-iim3w848,2026-09-10T12:51:25.097Z,2026-09-10T20:51:25.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,31,2026-09-10T12:51:25.002Z,7000,7000,95,14.25,10.74,true,0.52,true,ACCEPT,coherent-motion,0,7000,6.16,0.88,0,3.43,31.93,moving,,514fdef5,37,1,2026-09-10T12:51:25.145Z,48,143,22,,
qa-mtvixnmb-iim3w848,2026-09-10T12:51:28.603Z,2026-09-10T20:51:28.603+08:00,rnmapbox_userlocation_source_snapshot,tracking,,rnmapbox-apple-location-provider,mapbox-userlocation,,2026-09-10T12:51:28.000Z,,,603,14.2459545142148,,true,0.6109810496248408,,,coalesced-source-observation,,,,,,,,,,,,,,,,,,"{""repeatCount"":1220,""firstObservedAt"":1789044552742,""firstSequenceTimestamp"":1789044549000,""altitudeAvailable"":true}"
qa-mtvixnmb-iim3w848,2026-09-10T12:51:31.097Z,2026-09-10T20:51:31.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,32,2026-09-10T12:51:31.002Z,6000,6000,95,14.25,11.1,true,1.31,true,ACCEPT,coherent-motion,0,6000,6.35,1.06,0,2.56,23.16,moving,,514fdef5,,,2026-09-10T12:51:31.129Z,32,127,23,,
qa-mtvixnmb-iim3w848,2026-09-10T12:51:36.099Z,2026-09-10T20:51:36.099+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,33,2026-09-10T12:51:36.002Z,5000,5000,96,14.25,10.03,true,0.83,true,ACCEPT,coherent-motion,1,5000,5.24,1.05,0,5.8,66.86,moving,,514fdef5,34,0,2026-09-10T12:51:36.140Z,41,138,24,,
qa-mtvixnmb-iim3w848,2026-09-10T12:51:51.101Z,2026-09-10T20:51:51.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,34,2026-09-10T12:51:51.001Z,14999,14999,99,14.25,12.74,true,0.81,true,ACCEPT,coherent-motion,1,14999,5.51,0.37,0,10.95,24.79,moving,,514fdef5,,,2026-09-10T12:51:51.167Z,66,166,25,,
qa-mtvixnmb-iim3w848,2026-09-10T12:51:57.093Z,2026-09-10T20:51:57.093+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,35,2026-09-10T12:51:57.001Z,6000,6000,92,14.25,13.48,true,0.93,true,ACCEPT,coherent-motion,0,6000,5.65,0.94,0,3.49,9.21,moving,,514fdef5,,,2026-09-10T12:51:57.131Z,38,130,26,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:03.097Z,2026-09-10T20:52:03.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,36,2026-09-10T12:52:03.002Z,6001,6001,95,14.25,13.45,true,1.33,true,ACCEPT,coherent-motion,0,6001,5.94,0.99,0,1.09,10.38,moving,,514fdef5,,,2026-09-10T12:52:03.141Z,44,139,27,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:09.101Z,2026-09-10T20:52:09.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,37,2026-09-10T12:52:09.002Z,6000,6000,99,14.25,15.58,true,0.9,true,ACCEPT,coherent-motion,0,6000,5.08,0.85,0,1.62,14.36,moving,,514fdef5,,,2026-09-10T12:52:09.140Z,39,138,28,,
